artifact,clues
Sankranti,"The harvest festival in Haryana.
In this festival people do daan (charity)"
Navratri,"A festival after Basant Panchami in which Durga maa is brought in the house.
As a part of ritual wheat is germinated in an earthen  pot"
Bhaat Nautna,A wedding ritual where mama (mother's brother) is invited to the wedding
Bhaat Lena,A wedding ritual where mama (mother's brother) gets gifts for the bride and the family
Raat Jaga,A wedding ritual that denotes inviting ancestors and God to the wedding
Mande or Manda Bandhna,A wedding ritual where 7 earthen  katori (bowls) containing some sweets are stacked
Baan Baithna,A wedding ritual where turmeric is applied to the bride and then a holy thread with 7 Knots is tied to her
Gor Puja,"A wedding ritual where a pink dupatta  is used to cover the girl's head.
In this ritual mother's brother gives ornaments like Nath, payal, bichue to the bride to be and rice is showered on the girl as a form of blessing"
Kua Puja,A ritual done by the mother at the birth of a boy where she worships the well
Chatti Puja,"A fast done by the mother for the good destiny of the newborn child
The mother consumes ghee and Khichdi"
Tokni,The name for each earthen  pot in a three earther pot arrangement for drinking water.
Ragini,"A folk song art where stories are recited, particularly during Dusshera"
Chopal or chapaal,A common place in villages for smoking hookah
Kanth Mala,An ornament for the neck made of gold and has red pearl like things
Dusshera ugana,The ritual where barley is germinated and prayed to during Dusshera.
Ahoi,A festival where women fast for the well-being of their children.
Kheda ,An area or structure in the village where everyone gathers to pray to their ancestors during Diwali
